titulo,ano,doi,citacoes,todos_autores,todas_instituicoes,contagem_autores
Tree ring segmentation performance in highly disturbed trees using deep learning,2028,https://doi.org/10.5281/zenodo.17981686,0,"Muñoz-Torrero Manchado, Alberto; Zambrano Suárez, Joe David; Pérez-Martín, Jorge",National University of Distance Education,3
Tree ring segmentation performance in highly disturbed trees using deep learning,2028,https://doi.org/10.5281/zenodo.17974158,0,"Muñoz-Torrero Manchado, Alberto; Zambrano Suárez, Joe David; Pérez-Martín, Jorge",National University of Distance Education,3
Deep q-learning aided k-means clustering protocol for optimizing network lifetime in wireless sensor networks,2028,https://doi.org/10.14288/1.0451106,0,Flynn Dowey,,1
Identification of Meat Contamination using Deep Learning,2026,https://doi.org/10.5281/zenodo.18130810,0,Annual Methodological Archive Research Review,,1
Identification of Meat Contamination using Deep Learning,2026,https://doi.org/10.5281/zenodo.18130809,0,Annual Methodological Archive Research Review,,1
Universal Audio Generation,2026,N/A,0,Antoine Laurent; Sameer Khurana; Anthony Larcher; Dominik Klement; Mickaël Rouvier; Santiago Cuervo; Adel Moumen; Antonio Almudévar; Haroun Elleuch; Peter Gazdik; Dominik Boboš; Juraj Novosad; Hugo Riguidel; Salima Mdhaffar; Radim Kudla; Zili Huang; Elric Zhang; Laura Cristina Alonzo Canul; Ricard Marxer; Tuan Nguyen,Johns Hopkins University; Laboratoire Informatique d'Avignon; Aix-Marseille Université; Mitsubishi Electric (United States); Brno University of Technology; K Lab (United States); Laboratoire d'Informatique de Grenoble; Le Mans Université; Phonexia (Czechia); Universidad de Zaragoza,20
Snow Properties-Aware Deep Learning Framework for Centimeter-Level InSAR DEM Accuracy over Ice Sheets,2026,N/A,0,"Becker Campos, Alexandre; Diez Latteur, Antoine; Bueso Bello, Jose Luis; Braun, Matthias; Rizzoli, Paola",,5
A Novel Deep-Learning-Based Approach for Estimating High-Resolution InSAR Parameters,2026,N/A,0,"Dell Amore, Luca; Carcereri, Daniel; Demir, Begüm; Rizzoli, Paola",,4
Assessing knowledge in policing,2026,N/A,0,Tom Cockcroft; Jennifer Norman; Clare Rawdin,,3
Technology Roadmapping Revisited: Assessing Its Contemporary Relevance and Analytical Maturity,2026,N/A,0,"Karpavice, Justina; Tambo, Torben",College of Business and Technology,2
Deep Learning Based Graph Convolutional Network Using Hand Skeletal Points For Vietnamese Sign Language Classification,2026,N/A,0,Manh-Hung Ha; Duc-Chinh Nguyen; Thai-Kim Dinh; Tran Tien-Tam; Tien Thanh; Oscal Tzyh-Chiang Chen,"Vietnam National University, Hanoi",6
Deep-learning for soil moisture retrieval from Sentinel-1 InSAR data,2026,N/A,0,"Caushi, Andrea",,1
Emotional Anatomy of Fake News: Leveraging Sentiment and Explainable AI for Misinformation Detection,2026,https://doi.org/10.1201/9781003559931-9,0,"Kumar, Akshi; Chandrasekaran, Sanjith; Sangwan, Saurabh Raj",,3
"Digital India and Emerging Technologies (AI, IoT, Blockchain)",2026,https://doi.org/10.5281/zenodo.18162480,0,Girish B. Desale,ACPM Dental College and Hospital,1
Education and the politics of time: Temporal governance in teaching and learning,2026,N/A,0,Ronni Laursen; Miriam Madsen,Finnish Youth Research Society; Aarhus University,2
AcoustoReinforce: Multi-Particle Acoustophoretic Path Planningwith Deep Reinforcement Learning,2026,N/A,0,Pengyuan Wei; Giorgos Christopoulos; Zhouyang Shen; Jincheng Wang; Joshua Mukherjee; Ryuji Hirayama; Sriram Subramanian; Prateek Mittal,,8
Röntgen-CT-ondersteunde datagedreven in-procesmonitoring voor metaal- Laser Powder Bed Fusion,2026,N/A,0,Zhengrui Tao,,1
Partecipazione Pubblica e Apprendimento Organizzativo: il ruolo degli Enti Locali,2026,N/A,0,Lucia Travierso,,1
Robuuste akoestische monitoring van roterende machines,2026,N/A,0,Xian Wu,,1
Artificial intelligence in financial market prediction: advancements in machine learning for stock price forecasting,2026,https://doi.org/10.3389/frai.2025.1696423,0,Arafat Rohan; Md. Deluar Hossen; Md. Nuruzzaman Pranto; Balayet Hossain; Areyfin Mohammed Yoshi; Rakibul Islam,,6
A Personalized Mining Algorithm for Grassroots Network Data Based on Deep Learning,2026,https://doi.org/10.21203/rs.3.rs-8559081/v1,0,Connor Phillips; Ank Agarwal,John Brown University,2
